Video_ID,Views,Likes,Dislikes
ww06yGPM7Kc,2027690,22560,618
wvcRV7bte1A,246332,6607,106
wuitHrhC8Qk,7387,172,17
wuLaKDBNW4M,36577,369,58
wuBRcfe4bSo,2584144,21109,644
wty1MewUEQU,2011,95,17
wtJPe1ksS6E,1391771,28198,320
wsIDHI0JRJw,314749,17591,198
wquCatBE2Dk,231888,1135,33
wpd-z940rNs,1932335,81994,348
wpQces0zCUg,607017,23238,109
woN8pnA5_wk,1973753,94672,620
woBXjScA0s0,91476,1763,278
wnZL2eO3TmE,214325,1770,58
wnW7WnRw5jk,165943,2461,42
wlPXCY6U-Rw,117623,1859,84
wl0koy0NkG8,116549,937,70
wkhPHjzTzAw,395552,15800,435
wk-kciG2hOk,290547,3095,255
wg-mx9yYH_0,179337,84,13
wf1efwYlNXc,127716,4391,100
wekE7oSO55w,77267,1892,79
wePNJGL7nDU,603839,12710,1177
wdnHJtqpxVo,491563,2504,180
wdGlR3nvgmc,163204,3835,174
wdDKLeKiFaU,531696,4706,143
wcp_0aIaQKY,364228,2527,105
wckvy07xStI,344586,4435,240
wbY0aM6e8VY,227236,3098,140
wavL-4oCb9o,13646,146,34
waEi0rw-TYU,56605,1307,86
wUifSgM44_I,180037,3268,166
wUWfOY1gU5o,2203,113,1
wUI89K9ikJg,247644,1488,60
wUFwunMKa4E,5073307,74706,1630
wT4UD1cARKI,98610,2274,75
wT2hUaohzjM,721126,13678,1466
wRbMY7yeIQM,118433,2048,45
wLbvqioTrxA,1129228,21541,678
wLVylQO77-I,264808,4175,118
wLP4ihDsyvc,1597546,21898,545
wJqBNYvqF7I,628404,4630,504
wJ0qTN5nUQw,64600,1200,148
wIazdDw4tao,1207605,28858,270
wHpO9AG_dkE,886996,11222,254
wHgq9BgJ9L4,402094,2944,28
wGgtqkhZeBM,253325,570,52
wGAi77B7oK4,72156,956,103
wFluanr34SY,3169,94,2
wFMSbeMXg8w,54214,136,18
wDbjUuE4pGc,139582,390,8
wCsFXyoNOd4,61471,1548,40
wCaGK34d_SQ,22831,88,13
wBPBSroi_VE,1517885,4284,2504
w7sjEaag5yc,833509,22728,402
w5gGRNnbbQ8,27550,391,8
w1fiM1NkpeM,149192,1895,91
w0t0_IlyoI0,39986,1558,1015
w0qCoUEh7og,1446537,60151,313
vzVhPCMAxWQ,3185245,11222,867
vzJuhOn3Y58,27654,516,13
vynbZLtqOiE,537014,18556,290
vwhM5y-0aUI,62217,1826,160
vwVyAYc0Qig,53050,411,48
vv07HmXDu-w,174658,1261,42
vsb8_KiUPqM,350032,7763,169
vrZkGgoVSFk,315575,1587,204
vnDYaYXifYo,246631,4712,79
vlOk23dC98Q,426756,2770,171
vlNNLgOC524,125157,640,38
vkaO0Kmoicg,186894,5997,86
vhkFugK6sww,16390,167,384
vhcXyK8s-io,117332,1514,77
vgNlqZUTY2Q,19506,250,24
ve7vhY1cIAU,7647,151,23
vckLf4bVNUo,359275,7693,110
vc0fb3xhFHY,1588942,4699,748
vbyLDR3mD3A,105723,1159,10
vbOXc4QNy9M,307309,3959,189
v_iCD-TbjNc,128396,1044,128
v_dHWI4CzUU,1078213,23279,563
vZxOEH6xFvk,50842,2027,172
vYqkCQP2o3A,289605,8968,161
vWfr0NxL9Yk,3596970,128147,521
vV9NZBNmsGs,8074,49,27
vTsHWAWkOgg,251993,3458,348
vR9egKGVG50,1040444,69763,1317
vR0q5Rb03qY,21570,240,74
vQnjug5dtVs,79284,926,21
vP9eDmX0ow0,1278539,17457,179
vOkAfMCp9vQ,284024,1570,56
vM2zD5FtrkQ,2390142,59891,1142
vLXYfgpqb8A,4419867,61735,979
vJGWvZs2xn8,183035,1359,50
vI03_g-hlGM,169097,1323,95
vHy7FegT39A,157842,1913,151
vEYMg_S5e8U,24379,641,25
vEGwdehu2pQ,168227,4356,326
vDqURqDla4E,170828,6036,120
vD7Es0ODkTY,98974,142,6
vBqePv4KprE,25228,876,32
vAg-jZgn_dk,562947,17296,760
vAZWhFI9lLQ,953138,5958,151
v8ms7W5m42s,57008,1698,79
v781JqMRK_I,86945,725,21
v6OeLi0Dgio,56537,464,30
v5NtNn43NW4,10367,41,9
v4rIeRr2CB0,762749,20590,281
v4pi6hGbo8Y,175520,3243,68
v4gEmw3QVJU,14140,202,5
v49OIzSf7iA,1103476,12684,375
v28SBWLdSFY,191649,3136,40
v1n0nJrycyw,35245,667,19
v1INf4HA_AM,25469,74,8
v1EPLNJBfQU,36471,311,59
v0pdjx6L0IY,5205,35,4
uxE6WDN_DAE,1050656,10720,75
uvAdCWWl5l4,80508,1498,56
ush9tlkcERI,322070,22440,87
useJWxOqbJI,711610,16695,246
us3mztClLI0,59536,2244,49
uqW4l9Y5cXY,7506031,151128,1517
uqT0ayeR8Ps,426800,2525,188
uoGOVC55G2s,59781,2308,78
unUycSGEcWY,98048,1483,46
umpwOGbsk0Q,22595,658,98
umWanV97i7U,90988,787,76
um2Q9aUecy0,521217,7568,137
ujafLBlwgEk,1772,105,34
uhvDrCA0xVQ,351292,1060,216
uhe3uMchpYo,4603,127,5
ugm5peeAirc,60516,891,218
uftuhKxMxhY,96510,562,73
uf3ALGKgpGU,1929818,22379,870
uecHqZx_wrs,494301,1085,464
udo6Cgu6EMQ,1464229,575,100
udh2D_0jqBY,1850876,36165,413
uc82e7GGHl8,45116,112,48
ubVH69V-D1E,1459774,34060,405
uaOLK5B_mE8,172298,2413,54
uaJcZ6yAejI,550694,7558,402
uZ0KNVU2fV0,4340907,20350,1154
uXmIxn7niqQ,829675,12160,275
uXCI7bTOagI,25995,274,12
uXBDok3NFHs,83105,2143,96
uV2X4g5AzSg,27928,519,29
uUST_IQYp-o,2696367,169719,646
uSAM4l5ojCs,1218619,20305,258
uS3Vp_quGCw,2413416,23294,731
uP1hL7rRuiE,21309,281,14
uIEx_-sncfc,44562,132,34
uGPF79Xl6XQ,444666,7107,407
uFhRONeopbQ,2402123,74758,612
uEv59Ajhpoo,50714,1263,91
uEGFYhuXD5Q,172265,765,58
uEE7HqPvqOg,3080957,45427,12867
uDr1W-Dm4do,99622,725,32
uBPn5oQNutI,1682195,11192,884
uAx8EGrUozE,2347699,71079,492
uAgeCLYnwNg,206816,4668,4541
u93-GJrz1xo,91169,279,9
u83uo2_qWo0,48804,416,37
u7ZHi_dDSnQ,3026812,21372,1229
u5Y5Z7TZP58,149951,516,94
u5BTTuo2piI,70614,1046,78
u4IUuxg84Qg,14238,151,74
u3wPWCj2L6I,435912,7806,169
u3N2HqVyO5I,13853,263,57
u3F9n_smGWY,5411252,87629,2515
u36OoXyHHXw,45179,321,12
u31k-d1Ljes,56347,967,78
u2F16efPzas,45911,307,44
u05oI1eb6NU,47679,1705,967
u-dmLQv9hBk,457217,8822,734
u--o_0h7c28,21667,488,34
tyGyEEi6sqs,16494,400,37
twbGU2CqqQU,11392819,28902,2781
tvw8qcf4kv8,77865,397,29
ttPhRKh-PRs,54079,801,92
tro26_he3kY,82433,1661,238
trdQk1dQt-w,137528,927,17
trccDLgTzJY,726161,30187,177
trGBA0klzjU,11251,225,15
tqGZKiOLsU8,130799,307,29
tp9UKod1CZM,27663,825,29
tnlYv_oFZyw,57698,495,38
tkhSQ90EiQU,482790,4013,153
tkKY_xP7dPU,333555,708,45
tjxMZeBaFtc,58887,1553,19
tjcbV99jVlM,190588,2363,154
tjKGZGoLoNI,2984234,20311,1608
tiNrG1bkpkQ,114790,526,56
tiJQnO_dsKg,100435,2195,29
thDPriFPjRw,300009,3603,96
th8WT_pxGqg,3299506,18342,579
tflC2Jr6scs,477270,11643,230
tebjMZKs0VY,68469,1000,44
tdcgw9qqZgg,401025,4914,97
tdC-o_1phso,141841,6098,44
tcj5G157aBo,68736,602,46
tcHrtiw66P4,55724,137,33
tc9YvtGE16s,2020482,77406,429
tc5wS40lYYQ,26856,532,40
taE3PwurhYM,3289468,75196,1114
t_jqHR_T-E8,1091081,13308,452
t_gQ_EGmGXY,14952,77,11
t_UqIMUgmZs,264280,3830,290
tZl7xx9Fqxw,105688,2111,39
tXLQJeQKVK0,92454,2388,468
tW0zzgdrPMA,317059,9302,57
tTwT0MCSs6g,30567,287,26
tRcKv6oaQ6E,847,62,150
tQssrm7kiEs,344700,11079,114
tQA1omPJN24,3768377,60593,2160
tPsLcrVlwt4,267240,5901,9132
tOauOJg-fCQ,118604,825,45
tMSu3Gyz1jU,3323958,21103,2956
tLfLU6-9lxY,4041974,38618,1028
tIgwVkjLaqE,43184,357,57
tI9wa-Y9O8s,181534,1192,70
tG4Fbj1B1bY,2432233,16200,793
tFkjxHqg6zc,224794,835,71
tF0dE5vliVU,306952,6431,179
tC_-XMP0KVU,31439,186,69
tCGHOKENC3Y,200565,4934,167
tBnarCTOiCY,2160611,25324,668
tBfBvrrV4es,114257,1015,20
tBZZU4h1dCo,102244,866,28
t8Uy4r7-jPQ,210221,210,27
t7fvT0-lnEo,8319,222,1
t3Zez37nTGg,670039,3379,58
t2AOThN8lbM,12535,70,80
t0DxEXSLebs,35220,644,81
t058durlVWc,274981,2222,164
sxL4Fz1Ak7M,501990,6443,188
sw_eMBu4Jk4,55691,380,10
svVykTznk9Q,2989606,55204,890
su8PjNZazO0,50330,581,82
stsqf9ljurA,436228,1006,68
st6r-8mLW_o,3033055,21265,851
ssr40U3-do0,1394828,22595,346
srV0Kg1C2bY,3189926,72830,412
sqZxZ20NrNc,616399,4283,397
sm_hwxNTAa0,1274533,4486,252
sluQQ4bCEUk,26797,555,82
slmilObZl28,529861,3396,110
slVa0LaGqW4,123359,605,35
si1nUGVVTYU,71048,654,102
si-1aD0BAjg,656376,2536,178
shbiwCCMDHQ,1963519,53350,2481
sh8_gEFMgz8,192113,905,52
sgZ7RKyDrLg,480501,9484,569
sfzerK4lY1A,1392465,149,14
sf8h-L7ohWM,1564380,30594,422
setgvHG3w48,521692,1183,93
sdltVQOSK50,50768,312,12
sbw7QB6nrTc,522242,35611,268
sb9KEuppbX8,409248,1595,340
saXM2VOBI0M,934774,10766,772
sYaI9Ne5FeY,60698,462,27
sXw843GfNFw,28386,336,203
sXpKv5iqPYA,24426,108,12
sV7-MJZvUZk,132475,2565,67
sV-DYvuOR7o,31461,378,45
sTh35JKYBnY,6611,14,1
sSotxonBgOQ,315754,4033,189
sRpG00kNdF4,82993,183,16
sQaIDo94viA,91801,1182,44
sQJZWgirUpE,130110,1190,243
sPoTMwOftuA,448026,3571,294
sPkoW4cmqT8,386379,6682,97
sMm0X1i0YWw,308251,1482,399
sMPdsKvhCOo,186779,3260,92
sM5vWQUX9V4,572249,4266,266
sLfnSesx2RE,212226,819,72
sFzvJMmH9x0,783850,10246,3986
sFF5scGfVVQ,282482,4862,139
sExZim0S8nk,33866,103,6
sDp4AuNen0Y,910394,20283,198
sCimThZW-Ew,1079735,12869,191
sAfrBD5t5a8,8296981,163924,1119
s8Keau90JCI,66201,404,59
s7ODoHidsUE,756101,36526,184
s6jUmi4I4zg,70822,2299,48
s6TB7KEqhRo,12735,214,5
s4BTHHhrbto,173370,2438,35
s3kwFV3xqE8,62434,1103,719
s2eBAFt3L_0,1537532,9677,1353
s24UtlmNDv4,24087,1004,66
s0sZtjE2MXg,473634,5851,134
rxKbrz1daPA,104529,2636,20
rx9Coj4lgu0,19335,365,19
rvxPzgQghVY,630527,18191,601
rs9YpUktrWw,558757,3269,178
rrm7NHKxqQg,11278,64,10
rontZbe_fG4,165620,1745,71
rnnzNUD4VwM,117687,1928,46
rnfLg_LSzZA,29441,614,27
rmMEO62MVA0,4296,19,3
rmC3ZhIHHi4,4664020,17107,578
rm9Riat_cXY,185960,1278,47
rm5-Vbwy3VQ,6142,58,5
rm-FjYW24JY,1142526,7671,269
rlZUsPcChgI,3331450,13343,353
rl7TDZ0cL1U,35171,494,36
rjwuf_3P068,332375,1151,40
rjUrg1CtskU,214282,6036,122
riHMex1IPqw,33264,229,32
rfJY5vyfyxs,5017541,192736,3570
rf6sFXLimQk,43086,498,38
remv8bNEPc4,34252,139,102
re7nsFCRXXs,17145,159,39
